go

60.00|60.00|12000|12000|0|1.00|0.82|6|10.00|0.50
120.00|120.00|24000|24000|0|1.00|0.93|6|20.00|0.57
180.00|180.00|36000|36000|0|1.00|0.80|6|30.00|0.47
300.00|300.00|60000|60000|0|1.00|0.80|6|50.00|0.48
420.00|420.00|84000|84000|0|1.00|0.67|6|70.00|0.40
540.00|540.00|108000|108000|0|1.00|0.67|8|90.00|0.40
660.00|660.00|132000|132000|0|1.00|0.67|8|110.00|0.38
780.00|780.00|156000|156000|0|1.00|0.68|7|130.00|0.38

webpipes proc chain wasn't working

40.00|40.00|6400|6400|0|1.00|0.80|4|10.00|0.47
140.00|140.00|22400|22400|0|1.00|0.75|4|35.00|0.50
240.00|240.00|38400|38400|0|1.00|0.75|4|60.00|0.45
340.00|340.00|54400|54400|0|1.00|0.70|4|85.00|0.45
440.00|440.00|70400|70400|0|1.00|0.70|6|110.00|0.45
540.00|540.00|86400|86400|0|1.00|0.70|4|135.00|0.40
640.00|640.00|102400|102400|0|1.00|0.70|8|160.00|0.45
740.00|740.00|118400|118400|0|1.00|0.65|6|185.00|0.40
840.00|840.00|134400|134400|0|1.00|0.70|8|210.00|0.45
